genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
reggae,En La Cama (feat. Daddy Yankee),"Nicky Jam, Daddy Yankee",Exitos,2016-02-24,157023,75,1,spotify:track:2Eg6dOam7cAe5turf2bnCg
reggae,"Esta Cabron (Remix) [feat. Anuel Aa, Yomo, Pusho, Almighty, D.Ozi & Jamby ""El Favo""]","Ñejo, Gotay ""El Autentiko"", Anuel AA, Yomo, Pusho, Almighty, D.OZi, Jamby El Favo","Esta Cabron (Remix) [feat. Anuel Aa, Yomo, Pusho, Almighty, D.Ozi & Jamby ""El Favo""]",2016-04-23,485729,69,1,spotify:track:6J5mJPOs8EGCyjljxeLYx5
reggae,Baby Lover,Ñengo Flow,Real G4 Life Vol. 3,2017-02-10,194838,64,2,spotify:track:3kWMm2iFysQf0j1857c1vk
reggae,A Que No Te Atreves,"Tito ""El Bambino"", Chencho",Alta Jerarquia (El Patrón),2014-12-09,186760,68,4,spotify:track:3H7UaBpIlxh6gCC9LBDzsM
reggae,"Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)","Anuel AA, DJ Nelson, J Balvin, Nicky Jam, Cosculluela","Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)",2017-06-16,342013,67,1,spotify:track:5ZF3889W92eTBOROe0lPNN
reggae,Moviendo Caderas (feat. Daddy Yankee),"Yandel, Daddy Yankee",De Líder a Leyenda,2013-11-05,199026,65,7,spotify:track:0bdL8X3MrX51dRz231BFtv
reggae,Pretextos (feat. Cosculluela),"Maluma, Cosculluela","Pretty Boy, Dirty Boy",2015-10-30,228280,70,8,spotify:track:7HDOS7qOhBxmcsWTv29PSK
reggae,Lumbra,"Cali Y El Dandee, Shaggy",Lumbra,2017-01-20,197086,62,1,spotify:track:7dx0Funwrd0LRvquDFQ8fv
reggae,Rueda rueda,Eddy Lover,Flow Lover,2015-04-25,212498,56,4,spotify:track:7qnqTX3EsNb2JmrMox58tY
reggae,Me Hace Falta,Amenazzy,Me Hace Falta,2016-04-08,181498,61,1,spotify:track:0bc6usCdraQ0M3tXqemELa
reggae,Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",Te Quiero Pa´Mi,2016-11-11,212026,72,1,spotify:track:5YTMV11r6H8eeKuHghbBql
reggae,Si Ella Quisiera,Justin Quiles,La Promesa,2017-03-10,212161,64,3,spotify:track:7cIkMEpDhT7Vpw1FHOQqKC
reggae,Una en un Millón,Alexis y Fido,Una en un Millón,2015-11-17,208440,64,1,spotify:track:4SrcC7RYF496LSwl0XKdi1
reggae,El Amante (feat. Ozuna & Bad Bunny) - Remix,"Nicky Jam, Ozuna, Bad Bunny",El Amante (feat. Ozuna & Bad Bunny) [Remix],2017-06-26,225520,64,1,spotify:track:04f13iELcsYpY2yeLiAcfq
reggae,Nunca Imagine - Remix,"Justin Quiles, KEVIN ROLDAN",Nunca Imagine (Remix),2015-07-24,206576,65,1,spotify:track:2csDKaGRNwR0J9gCtlLkWr
reggae,Si Tú La Ves (feat. Wisin),"Nicky Jam, Wisin",Fénix,2017-01-20,221026,70,7,spotify:track:4yN6xPLopmTLvc27pO9LIE
reggae,Me Niegas,Baby Rasta y Gringo,Los Cotizados,2015-08-21,201946,73,14,spotify:track:1o6DL0otgQMsUebziSC7kA
reggae,"Ella y Yo (feat. Farruko, Tempo, Anuel AA, Almighty & Bryant Myers)","Pepe Quintana, Almighty, Anuel AA, Bryant Myers, Farruko, Tempo","Ella y Yo (feat. Farruko, Tempo, Anuel AA, Almighty & Bryant Myers)",2016-01-27,308133,70,1,spotify:track:2opYh9ZmKbiVrzEuPgrCTX
reggae,Tu No Metes Cabra,Bad Bunny,Tu No Metes Cabra,2017-07-06,170762,69,1,spotify:track:43SMQMC2X2fAOuTPRnSGrG
reggae,Nunca Me Olvides,Yandel,Dangerous,2015-11-06,241560,69,2,spotify:track:27ebni0DfbT5Owz6W42HP8
reggae,Que Va,"Alex Sensation, Ozuna",Que Va,2017-08-04,238160,70,1,spotify:track:6J1R5wtPXiHiwiPstOSI56
reggae,Ay Mi Dios,"IAmChino, Pitbull, Yandel, El Chacal",Ay Mi Dios,2016-02-22,252003,71,1,spotify:track:4L4MttVsY1WaxSDzFiQefU
reggae,Shower,Becky G,Shower,2014-04-23,206166,80,1,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ
reggae,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",Trap Capos: Season 1,2016-10-07,278106,64,2,spotify:track:1WSHZ0lV5whcOUT7OE8WXw
reggae,Ceniza En Cenicero,Anuel AA,Ceniza En Cenicero,2017-02-14,194042,64,1,spotify:track:4vAsjqRZHlqGvY8Rqog4il
reggae,Sexto Sentido (feat. Bad Bunny),"Gigolo Y La Exce, Bad Bunny",Sexto Sentido (feat. Bad Bunny),2017-08-17,227291,70,1,spotify:track:1XDBrOUa5swy7lhO06mggm
reggae,Una Lady Como Tú,Manuel Turizo,Una Lady Como Tú,2017-04-10,213026,68,1,spotify:track:7MHN1aCFtLXjownGhvEQlF
reggae,Barquito,"Tito ""El Bambino""",Invencible (El Patrón),2014-03-26,223333,55,4,spotify:track:4d6mECR6gBa74WRyNcHY03
reggae,"La Llamada (feat. Darkiel, Almighty, Brytiago & Bryant Myers) - Remix","Trap Capos, Noriel, Darkiel, Almighty, Brytiago, Bryant Myers",Trap Capos: Season 1,2016-10-07,369266,66,5,spotify:track:5PnE0HnlvXl3Pv7hop2FBE
reggae,Chambea,Bad Bunny,Chambea,2017-12-01,192001,68,1,spotify:track:1Bqg4yFeVDJxchh6MjkGKy
reggae,Sola,Anuel AA,Sola,2016-04-17,194690,65,1,spotify:track:11t1vuAGzmJCbSBYMtKOaD
reggae,Si Tu Lo Dejas,"Rvssian, Bad Bunny, Farruko, Nicky Jam, Kosa",Si Tu Lo Dejas,2017-08-03,275478,68,1,spotify:track:2naJy8SKJ27gj6ZhRPDKaz
reggae,6 AM,"J Balvin, Farruko",La Familia,2013-09-29,243226,72,5,spotify:track:3uvypVUsiIr1B0BccIcsEh
